model_type,model,goal_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
PDDL,deepseek,detailed,19,359.0,292.0,47.0,25.0,67.0,22.0,8.68421052631579,4.1234567901234565,100
PDDL,deepseek,subgoal,5,198.0,121.0,49.0,8.0,77.0,41.0,2.0,1.0526315789473684,100
PDDL,gpt-4.1-2025-04-14,detailed,7,181.0,104.0,74.0,56.0,77.0,18.0,26.857142857142858,24.0752688172043,100
PDDL,gpt-4.1-2025-04-14,subgoal,0,123.0,24.0,15.0,2.0,99.0,13.0,,1.23,100
PDDL,gpt-4o-2024-05-13,detailed,1,183.0,97.0,57.0,36.0,86.0,21.0,7.0,4.878787878787879,100
PDDL,gpt-4o-2024-05-13,subgoal,0,137.0,48.0,27.0,6.0,89.0,21.0,,1.1326530612244898,98
PDDL,o3-mini-2025-01-31,detailed,38,296.0,266.0,143.0,106.0,30.0,37.0,19.92105263157895,22.20967741935484,100
PDDL,o3-mini-2025-01-31,subgoal,7,449.0,435.0,114.0,27.0,14.0,87.0,3.4285714285714284,3.774193548387097,100
PDDL,o3-mini-2025-01-31,without_detailed_goal,2,405.0,387.0,92.0,7.0,18.0,85.0,1.0,1.4387755102040816,100
PDDL,o3-mini-2025-01-31,without_hint,2,391.0,369.0,123.0,35.0,22.0,88.0,1.0,2.163265306122449,100
PDDL,o4-mini-2025-04-16,detailed,4,62.0,51.0,16.0,13.0,11.0,3.0,15.5,22.375,20
PDDL_fixed_df,deepseek,detailed,23,140.0,84.0,55.0,37.0,56.0,18.0,20.82608695652174,14.142857142857142,100
PDDL_fixed_df,gpt-4.1-2025-04-14,detailed,12,216.0,152.0,84.0,73.0,64.0,11.0,26.25,24.34090909090909,100
PDDL_fixed_df,o3-mini-2025-01-31,detailed,33,365.0,341.0,163.0,121.0,24.0,42.0,17.09090909090909,20.53731343283582,100
baseline,deepseek,detailed,17,,,97.0,83.0,,14.0,8.705882352941176,19.216867469879517,100
baseline,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,detailed,3,,,180.0,102.0,,78.0,13.333333333333334,4.776470588235294,88
baseline,gpt-4.1-2025-04-14,detailed,5,,,112.0,93.0,,19.0,13.8,18.54736842105263,100
baseline,gpt-4o-2024-05-13,detailed,4,,,122.0,100.0,,22.0,7.0,18.510416666666668,100
baseline,o3-mini-2025-01-31,detailed,5,,,212.0,154.0,,58.0,5.0,12.031578947368422,100
baseline,o4-mini-2025-04-16,detailed,4,,,20.0,16.0,,4.0,7.0,19.5625,20
non_error_fixing,deepseek,detailed,2,,,,,,,1.5,4.111111111111111,20
non_error_fixing,deepseek,detailed,0,,,,,,,,5.6,20
non_error_fixing,deepseek,detailed,0,,,,,,,,5.85,20
non_error_fixing,deepseek,detailed,2,,,,,,,1.0,4.722222222222222,20
non_error_fixing,deepseek,detailed,0,,,,,,,,5.3,20
non_error_fixing,deepseek,subgoal,0,,,,,,,,1.5,20
non_error_fixing,deepseek,subgoal,0,,,,,,,,1.0,20
non_error_fixing,deepseek,subgoal,0,,,,,,,,1.0,20
non_error_fixing,deepseek,subgoal,0,,,,,,,,1.0,20
non_error_fixing,deepseek,subgoal,0,,,,,,,,1.0,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,1,,,,,,,17.0,15.368421052631579,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,0,,,,,,,,21.5,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,0,,,,,,,,33.55,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,0,,,,,,,,19.5,20
non_error_fixing,gpt-4.1-2025-04-14,detailed,0,,,,,,,,31.35,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,0,,,,,,,,1.3,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,0,,,,,,,,1.4,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,0,,,,,,,,1.2,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,0,,,,,,,,1.05,20
non_error_fixing,gpt-4.1-2025-04-14,subgoal,0,,,,,,,,1.2,20
non_error_fixing,gpt-4o-2024-05-13,detailed,0,,,,,,,,7.5,20
non_error_fixing,gpt-4o-2024-05-13,detailed,0,,,,,,,,2.55,20
non_error_fixing,gpt-4o-2024-05-13,detailed,0,,,,,,,,6.2,20
non_error_fixing,gpt-4o-2024-05-13,detailed,0,,,,,,,,4.7,20
