model_type,model,goal_type,game_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
PDDL,deepseek,detailed,3,11,29.0,23.0,13.0,9.0,6.0,4.0,1.7272727272727273,1.4444444444444444,20
PDDL,deepseek,detailed,5,9,41.0,34.0,15.0,11.0,7.0,4.0,2.5555555555555554,1.9090909090909092,20
PDDL,deepseek,detailed,7,9,31.0,23.0,12.0,8.0,8.0,4.0,3.0,2.0,20
PDDL,deepseek,detailed,9,6,38.0,27.0,14.0,9.0,11.0,5.0,4.333333333333333,2.2857142857142856,20
PDDL,deepseek,detailed,11,6,38.0,27.0,12.0,8.0,11.0,4.0,4.0,2.857142857142857,20
PDDL,deepseek,subgoal,3,3,24.0,9.0,3.0,0.0,15.0,3.0,1.0,1.2352941176470589,20
PDDL,deepseek,subgoal,5,7,23.0,11.0,5.0,4.0,12.0,1.0,2.2857142857142856,1.1538461538461537,20
PDDL,deepseek,subgoal,7,5,27.0,13.0,7.0,5.0,14.0,2.0,4.4,1.1333333333333333,20
PDDL,deepseek,subgoal,9,4,21.0,7.0,4.0,2.0,14.0,2.0,1.5,1.0,20
PDDL,deepseek,subgoal,11,2,30.0,14.0,6.0,4.0,16.0,2.0,4.0,1.3333333333333333,20
PDDL,gpt-4.1-2025-04-14,detailed,3,14,25.0,20.0,10.0,9.0,5.0,1.0,1.6428571428571428,1.8333333333333333,20
PDDL,gpt-4.1-2025-04-14,detailed,5,9,20.0,10.0,11.0,9.0,10.0,2.0,2.7777777777777777,1.5454545454545454,20
PDDL,gpt-4.1-2025-04-14,detailed,7,12,22.0,15.0,13.0,12.0,7.0,1.0,4.333333333333333,1.625,20
PDDL,gpt-4.1-2025-04-14,detailed,9,7,25.0,14.0,15.0,10.0,11.0,5.0,3.0,3.230769230769231,20
PDDL,gpt-4.1-2025-04-14,detailed,11,6,22.0,8.0,8.0,7.0,14.0,1.0,3.0,1.7857142857142858,20
PDDL,gpt-4.1-2025-04-14,subgoal,3,11,22.0,13.0,5.0,4.0,9.0,1.0,1.9090909090909092,1.2222222222222223,20
PDDL,gpt-4.1-2025-04-14,subgoal,5,5,25.0,10.0,5.0,5.0,15.0,0.0,3.0,1.8,20
