[PyIR] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not import module 'Qwen3ForCausalLM'. Are this object's requirements defined correctly?
[PyIR] Trial 0 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 1 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 1 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 2 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 2 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 3 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 3 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 4 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 4 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not import module 'Qwen3ForCausalLM'. Are this object's requirements defined correctly?
[PyIR] Trial 0 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 1 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 1 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 2 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 2 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 3 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 3 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 4 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 4 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 0 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 1 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 1 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 2 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 2 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 3 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 3 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 4 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 4 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Token is required (`token=True`), but no token found. You need to provide a token or be logged in to Hugging Face with `hf auth login` or `huggingface_hub.login`. See https://huggingface.co/settings/tokens.
[PyIR] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not import module 'Qwen3ForCausalLM'. Are this object's requirements defined correctly?
[PyIR] Trial 0 (Attempt 2) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
[PyIR] Trial 1 (Attempt 1) | Model: Qwen/Qwen3-32B | Goal Type: detailed | Failed: Could not find Qwen3ForCausalLM neither in <module 'transformers.models.qwen3' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/models/qwen3/__init__.py'> nor in <module 'transformers' from '/local-ssd/yl3427/venv/lib/python3.12/site-packages/transformers/__init__.py'>!
